"","title","category","mean_vote"
"1","The Moving on Phase","non_us_voters_rating",9.5
"2","Lejos de Casa pelicula Venezolana","non_us_voters_rating",9.8
"3","Suvarna Sundari","non_us_voters_rating",9.7
"4","Notuku Potu","non_us_voters_rating",9.7
"5","Ek","non_us_voters_rating",9.6
"6","Sri Bharatha Baahubali","non_us_voters_rating",8.9
"7","Meka Suri","non_us_voters_rating",9.8
"8","Breakout","non_us_voters_rating",8.8
"9","Jeeudo","non_us_voters_rating",9.6
"10","Hopeful Notes","non_us_voters_rating",9.7
"11","Â¿QuÃ© hacemos con los hijos?","us_voters_rating",5.5
"12","Â¡Vaya par de gemelos!","us_voters_rating",5.5
"13","Das gefrorene Herz","us_voters_rating",7.5
"14","Gib Gas - Ich will SpaÃŸ!","us_voters_rating",4.5
"15","La hora bruja","us_voters_rating",7.6
"16","Les mois d'avril sont meurtriers","us_voters_rating",7
"17","Mi general","us_voters_rating",6.5
"18","Balanga","us_voters_rating",5.7
"19","Oh Boy!","us_voters_rating",6
"20","Angelo, FrÃ©do et RomÃ©o","us_voters_rating",2.2
"21","Convivencia","top1000_voters_rating",6.6
"22","Tou tou ai ni","top1000_voters_rating",7.2
"23","Dovidjenja u Cikagu","top1000_voters_rating",5.1
"24","O pseftis","top1000_voters_rating",5.5
"25","Ustaad","top1000_voters_rating",6.9
"26","Narendran Makan Jayakanthan Vaka","top1000_voters_rating",6.5
"27","Never Among Friends","top1000_voters_rating",6.7
"28","Kunjikkoonan","top1000_voters_rating",6.6
"29","Chronic Bachelor","top1000_voters_rating",6.7
"30","Balettan","top1000_voters_rating",6.6
"31","L'uomo dal coltello a serramanico","females_45age_avg_vote",6.7
"32","Ripudiata","females_45age_avg_vote",6.4
"33","Il figlio del disertore","females_45age_avg_vote",6.9
"34","Fermo con le mani","females_45age_avg_vote",6.5
"35","Sky Giant","females_45age_avg_vote",6.7
"36","The Spider Returns","females_45age_avg_vote",6.8
"37","Chetniks","females_45age_avg_vote",7.2
"38","The Cowboy and the Indians","females_45age_avg_vote",6.8
"39","Federal Agents vs. Underworld, Inc.","females_45age_avg_vote",6
"40","Il doppio segno di Zorro","females_45age_avg_vote",6.4
"41","A Girl's Folly","females_30age_avg_vote",6.3
"42","Der KlosterjÃ¤ger","females_30age_avg_vote",8.6
"43","Dream Street","females_30age_avg_vote",5.9
"44","The Sorrows of Satan","females_30age_avg_vote",7.2
"45","Almost Human","females_30age_avg_vote",7.4
"46","Giorni felici","females_30age_avg_vote",7
"47","Mrs. Wiggs of the Cabbage Patch","females_30age_avg_vote",6.4
"48","Once to Every Woman","females_30age_avg_vote",6.9
"49","Il falco nero","females_30age_avg_vote",6.8
"50","North of the Rio Grande","females_30age_avg_vote",7
"51","Straight Shooting","females_18age_avg_vote",6.2
"52","The Whispering Chorus","females_18age_avg_vote",6.5
"53","Harakiri","females_18age_avg_vote",5.7
"54","Die Pest in Florenz","females_18age_avg_vote",6.5
"55","Algol - TragÃ¶die der Macht","females_18age_avg_vote",6.7
"56","April Folly","females_18age_avg_vote",8.4
"57","Der KlosterjÃ¤ger","females_18age_avg_vote",8.6
