"","year","gener","total"
"1",2019,"News",0
"2",2018,"News",0
"3",2017,"News",0
"4",2016,"News",0
"5",2015,"News",1
"6",2014,"News",0
"7",2013,"News",0
"8",2012,"News",0
"9",2011,"News",0
"10",2010,"News",0
"11",2009,"News",0
"12",2008,"News",0
"13",2007,"News",0
"14",2006,"News",0
"15",2005,"News",0
"16",2004,"News",0
"17",2003,"News",0
"18",2002,"News",0
"19",2001,"News",0
"20",2000,"News",0
"21",2019,"Reality-TV",0
"22",2018,"Reality-TV",0
"23",2017,"Reality-TV",0
"24",2016,"Reality-TV",0
"25",2015,"Reality-TV",0
"26",2014,"Reality-TV",0
"27",2013,"Reality-TV",0
"28",2012,"Reality-TV",0
"29",2011,"Reality-TV",0
"30",2010,"Reality-TV",0
"31",2009,"Reality-TV",0
"32",2008,"Reality-TV",0
"33",2007,"Reality-TV",0
"34",2006,"Reality-TV",0
"35",2005,"Reality-TV",0
"36",2004,"Reality-TV",0
"37",2003,"Reality-TV",1
"38",2002,"Reality-TV",0
"39",2001,"Reality-TV",0
"40",2000,"Reality-TV",0
"41",2019,"Documentary",1
"42",2018,"Documentary",0
"43",2017,"Documentary",0
"44",2016,"Documentary",0
"45",2015,"Documentary",0
"46",2014,"Documentary",0
"47",2013,"Documentary",0
"48",2012,"Documentary",0
"49",2011,"Documentary",0
"50",2010,"Documentary",0
"51",2009,"Documentary",0
"52",2008,"Documentary",0
"53",2007,"Documentary",0
"54",2006,"Documentary",0
"55",2005,"Documentary",0
"56",2004,"Documentary",0
"57",2003,"Documentary",0
"58",2002,"Documentary",0
"59",2001,"Documentary",0
"60",2000,"Documentary",0
"61",2019,"Adult",0
"62",2018,"Adult",0
"63",2017,"Adult",0
"64",2016,"Adult",0
"65",2015,"Adult",0
"66",2014,"Adult",0
"67",2013,"Adult",0
"68",2012,"Adult",0
"69",2011,"Adult",0
"70",2010,"Adult",0
"71",2009,"Adult",0
"72",2008,"Adult",0
"73",2007,"Adult",0
"74",2006,"Adult",0
"75",2005,"Adult",0
"76",2004,"Adult",0
"77",2003,"Adult",0
"78",2002,"Adult",0
"79",2001,"Adult",0
"80",2000,"Adult",0
"81",2019,"Film-Noir",0
"82",2018,"Film-Noir",0
"83",2017,"Film-Noir",0
"84",2016,"Film-Noir",0
"85",2015,"Film-Noir",0
"86",2014,"Film-Noir",0
"87",2013,"Film-Noir",0
"88",2012,"Film-Noir",0
"89",2011,"Film-Noir",0
"90",2010,"Film-Noir",0
"91",2009,"Film-Noir",0
"92",2008,"Film-Noir",0
"93",2007,"Film-Noir",0
"94",2006,"Film-Noir",0
"95",2005,"Film-Noir",0
"96",2004,"Film-Noir",0
"97",2003,"Film-Noir",0
"98",2002,"Film-Noir",0
"99",2001,"Film-Noir",0
"100",2000,"Film-Noir",0
"101",2019,"Music",35
"102",2018,"Music",62
"103",2017,"Music",55
"104",2016,"Music",35
"105",2015,"Music",47
"106",2014,"Music",52
"107",2013,"Music",44
"108",2012,"Music",37
"109",2011,"Music",33
"110",2010,"Music",41
"111",2009,"Music",41
"112",2008,"Music",42
"113",2007,"Music",46
"114",2006,"Music",43
"115",2005,"Music",44
"116",2004,"Music",45
"117",2003,"Music",20
"118",2002,"Music",28
"119",2001,"Music",24
"120",2000,"Music",22
"121",2019,"Musical",19
"122",2018,"Musical",23
"123",2017,"Musical",32
"124",2016,"Musical",30
"125",2015,"Musical",23
"126",2014,"Musical",27
"127",2013,"Musical",23
"128",2012,"Musical",28
"129",2011,"Musical",30
"130",2010,"Musical",25
"131",2009,"Musical",18
"132",2008,"Musical",24
"133",2007,"Musical",23
"134",2006,"Musical",34
"135",2005,"Musical",37
"136",2004,"Musical",25
"137",2003,"Musical",29
"138",2002,"Musical",31
"139",2001,"Musical",28
"140",2000,"Musical",28
"141",2019,"Animation",106
"142",2018,"Animation",112
"143",2017,"Animation",108
